"trust_code","ltla_code","source","p"
"rkb","e07000220","patient_postcode",0.185770750988142
"rkb","e08000026","patient_postcode",0.723320158102767
"rke","e09000019","hospital_postcode",NA
"rke","e09000003","patient_postcode",0.116071428571429
"rke","e09000010","patient_postcode",0.0267857142857143
"rke","e09000012","patient_postcode",0.0491071428571429
"rke","e09000014","patient_postcode",0.419642857142857
"rke","e09000019","patient_postcode",0.388392857142857
"rl1","e06000051","hospital_postcode",NA
"rl4","e08000031","hospital_postcode",NA
"rl4","e07000192","patient_postcode",0.0646551724137931
"rl4","e07000196","patient_postcode",0.105603448275862
"rl4","e08000027","patient_postcode",0.0129310344827586
"rl4","e08000030","patient_postcode",0.118534482758621
"rl4","e08000031","patient_postcode",0.698275862068966
"rlq","e06000019","hospital_postcode",NA
"rlq","e06000019","patient_postcode",0.933333333333333
"rlq","e06000051","patient_postcode",0.0666666666666667
"rlt","e07000219","hospital_postcode",NA
"rlt","e07000132","patient_postcode",0.125925925925926
"rlt","e07000218","patient_postcode",0.225925925925926
"rlt","e07000219","patient_postcode",0.648148148148148
"rm1","e07000149","hospital_postcode",NA
"rm1","e07000143","patient_postcode",0.207729468599034
"rm1","e07000144","patient_postcode",0.251207729468599
"rm1","e07000147","patient_postcode",0.169082125603865
"rm1","e07000148","patient_postcode",0.207729468599034
"rm1","e07000149","patient_postcode",0.164251207729469
"rm3","e08000006","hospital_postcode",NA
"rm3","e08000001","patient_postcode",0.050561797752809
"rm3","e08000002","patient_postcode",0.0449438202247191
"rm3","e08000003","patient_postcode",0.0674157303370786
"rm3","e08000004","patient_postcode",0.0280898876404494
"rm3","e08000005","patient_postcode",0.0280898876404494
"rm3","e08000006","patient_postcode",0.668539325842697
"rm3","e08000009","patient_postcode",0.0617977528089888
"rm3","e08000010","patient_postcode",0.050561797752809
"rmc","e08000001","hospital_postcode",NA
"rmc","e08000001","patient_postcode",0.823308270676692
"rmc","e08000002","patient_postcode",0.018796992481203
"rmc","e08000006","patient_postcode",0.0639097744360902
"rmc","e08000010","patient_postcode",0.093984962406015
"rmp","e08000008","hospital_postcode",NA
"rmp","e07000037","patient_postcode",0.197590361445783
"rmp","e08000008","patient_postcode",0.756626506024096
"rmp","e09000009","patient_postcode",0.00843373493975904
"rmp","e09000018","patient_postcode",0.0265060240963855
"rmp","e09000027","patient_postcode",0.0108433734939759
"rn3","e06000030","patient_postcode",0.646103896103896
"rn3","e06000037","patient_postcode",0.0162337662337662
"rn3","e06000054","patient_postcode",0.25974025974026
"rn3","e07000079","patient_postcode",0.0454545454545455
"rn3","e07000180","patient_postcode",0.0324675324675325
"rn5","e07000084","hospital_postcode",NA
"rn5","e07000094","hospital_postcode",NA
"rn5","e06000037","patient_postcode",0.0873015873015873
"rn5","e07000084","patient_postcode",0.420634920634921
"rn5","e07000085","patient_postcode",0.0740740740740741
"rn5","e07000086","patient_postcode",0.103174603174603
"rn5","e07000089","patient_postcode",0.0211640211640212
"rn5","e07000093","patient_postcode",0.164021164021164
"rn5","e07000094","patient_postcode",0.12962962962963
"rn7","e07000107","patient_postcode",0.410714285714286
"rn7","e07000109","patient_postcode",0.321428571428571
"rn7","e07000111","patient_postcode",0.160714285714286
"rn7","e09000004","patient_postcode",0.107142857142857
"rna","e08000027","hospital_postcode",NA
"rna","e07000196","patient_postcode",0.0422535211267606
"rna","e08000027","patient_postcode",0.767605633802817
"rna","e08000028","patient_postcode",0.147887323943662
"rna","e08000031","patient_postcode",0.0422535211267606
"rnn","e07000028","hospital_postcode",NA
"rnn","e07000029","hospital_postcode",NA
"rnn","e07000026","patient_postcode",0.230352303523035
"rnn","e07000028","patient_postcode",0.35230352303523
"rnn","e07000029","patient_postcode",0.265582655826558
"rnn","e07000030","patient_postcode",0.151761517615176
"rnq","e07000153","hospital_postcode",NA
"rnq","e07000131","patient_postcode",0.0346020761245675
"rnq","e07000150","patient_postcode",0.14878892733564
"rnq","e07000152","patient_postcode",0.373702422145329
"rnq","e07000153","patient_postcode",0.294117647058824
"rnq","e07000156","patient_postcode",0.14878892733564
"rns","e07000154","hospital_postcode",NA
"rns","e07000151","patient_postcode",0.111111111111111
"rns","e07000152","patient_postcode",0.0268199233716475
"rns","e07000153","patient_postcode",0.0114942528735632
"rns","e07000154","patient_postcode",0.672413793103448
"rns","e07000155","patient_postcode",0.109195402298851
"rns","e07000156","patient_postcode",0.0689655172413793
"rnz","e06000054","hospital_postcode",NA
"rp5","e07000171","hospital_postcode",NA
"rp5","e08000017","hospital_postcode",NA
"rp5","e06000011","patient_postcode",0.0170648464163823
"rp5","e07000171","patient_postcode",0.150170648464164
"rp5","e08000017","patient_postcode",0.812286689419795
"rp5","e08000018","patient_postcode",0.0204778156996587
"rpa","e06000035","hospital_postcode",NA
"rpa","e06000035","patient_postcode",0.766423357664234
"rpa","e07000113","patient_postcode",0.233576642335766
"rpy","e09000020","hospital_postcode",NA
"rpy","e09000029","hospital_postcode",NA
"rpy","e07000211","patient_postcode",0.3125
"rpy","e09000008","patient_postcode",0.375
"rpy","e09000029","patient_postcode",0.3125
"rq3","e08000025","hospital_postcode",NA
"rq3","e08000025","patient_postcode",1
"rq8","e07000070","hospital_postcode",NA
"rq8","e07000067","patient_postcode",0.32046332046332
"rq8","e07000068","patient_postcode",0.027027027027027
"rq8","e07000070","patient_postcode",0.467181467181467
"rq8","e07000074","patient_postcode",0.123552123552124
"rq8","e07000077","patient_postcode",0.0617760617760618
"rqm","e09000020","hospital_postcode",NA
"rqm","e09000013","patient_postcode",0.244444444444444
"rqm","e09000020","patient_postcode",0.348148148148148
"rqm","e09000032","patient_postcode",0.288888888888889
"rqm","e09000033","patient_postcode",0.118518518518519
"rqw","e07000073","hospital_postcode",NA
"rqw","e07000072","patient_postcode",0.281553398058252
"rqw","e07000073","patient_postcode",0.328155339805825
"rqw","e07000077","patient_postcode",0.0660194174757282
"rqw","e07000095","patient_postcode",0.141747572815534
"rqw","e07000242","patient_postcode",0.18252427184466
"rqx","e09000012","hospital_postcode",NA
"rqx","e09000012","patient_postcode",0.763358778625954
"rqx","e09000014","patient_postcode",0.0343511450381679
"rqx","e09000019","patient_postcode",0.0572519083969466
"rqx","e09000025","patient_postcode",0.0305343511450382
"rqx","e09000030","patient_postcode",0.0610687022900763
"rqx","e09000031","patient_postcode",0.0534351145038168
"rr7","e08000037","hospital_postcode",NA
"rr7","e08000024","patient_postcode",0.0957446808510638
"rr7","e08000037","patient_postcode",0.904255319148936
"rr8","e08000035","hospital_postcode",NA
"rr8","e08000032","patient_postcode",0.0245310245310245
"rr8","e08000034","patient_postcode",0.0115440115440115
"rr8","e08000035","patient_postcode",0.963924963924964
"rrf","e08000010","hospital_postcode",NA
"rrf","e07000118","patient_postcode",0.0126582278481013
"rrf","e07000127","patient_postcode",0.0741410488245931
"rrf","e08000010","patient_postcode",0.913200723327306
"rrj","e08000025","patient_postcode",1
"rrk","e08000025","hospital_postcode",NA
"rrk","e07000199","patient_postcode",0.0410958904109589
"rrk","e07000218","patient_postcode",0.0091324200913242
"rrk","e07000234","patient_postcode",0.015220700152207
"rrk","e08000025","patient_postcode",0.764079147640791
"rrk","e08000027","patient_postcode",0.0106544901065449
"rrk","e08000028","patient_postcode",0.0258751902587519
"rrk","e08000029","patient_postcode",0.117199391171994
"rrk","e08000030","patient_postcode",0.0167427701674277
"rrv","e09000007","hospital_postcode",NA
"rtd","e08000021","hospital_postcode",NA
"rtd","e06000047","patient_postcode",0.00826446280991736
"rtd","e06000057","patient_postcode",0.12396694214876
"rtd","e08000021","patient_postcode",0.68099173553719
"rtd","e08000022","patient_postcode",0.122314049586777
"rtd","e08000037","patient_postcode",0.0644628099173554
"rte","e07000081","hospital_postcode",NA
"rte","e07000078","patient_postcode",0.232558139534884
"rte","e07000079","patient_postcode",0.104651162790698
"rte","e07000080","patient_postcode",0.127906976744186
"rte","e07000081","patient_postcode",0.290697674418605
"rte","e07000082","patient_postcode",0.13953488372093
"rte","e07000083","patient_postcode",0.104651162790698
"rtf","e06000057","hospital_postcode",NA
"rtf","e06000057","patient_postcode",0.555555555555556
"rtf","e08000022","patient_postcode",0.444444444444444
"rtg","e07000193","hospital_postcode",NA
"rtg","e06000015","patient_postcode",0.388663967611336
"rtg","e07000032","patient_postcode",0.102226720647773
"rtg","e07000035","patient_postcode",0.0273279352226721
"rtg","e07000036","patient_postcode",0.0921052631578947
"rtg","e07000039","patient_postcode",0.126518218623482
"rtg","e07000134","patient_postcode",0.0354251012145749
"rtg","e07000192","patient_postcode",0.0151821862348178
"rtg","e07000193","patient_postcode",0.154858299595142
"rtg","e07000194","patient_postcode",0.0576923076923077
"rth","e07000178","hospital_postcode",NA
"rth","e07000155","patient_postcode",0.0464037122969838
"rth","e07000177","patient_postcode",0.222737819025522
"rth","e07000178","patient_postcode",0.167053364269142
"rth","e07000179","patient_postcode",0.074245939675174
"rth","e07000180","patient_postcode",0.334106728538283
"rth","e07000181","patient_postcode",0.155452436194896
"rtk","e07000212","hospital_postcode",NA
"rtk","e07000207","patient_postcode",0.165467625899281
"rtk","e07000212","patient_postcode",0.206235011990408
"rtk","e07000213","patient_postcode",0.302158273381295
"rtk","e07000214","patient_postcode",0.0311750599520384
"rtk","e07000217","patient_postcode",0.278177458033573
"rtk","e09000018","patient_postcode",0.0167865707434053
"rtp","e07000211","hospital_postcode",NA
"rtp","e07000210","patient_postcode",0.130434782608696
"rtp","e07000211","patient_postcode",0.260869565217391
"rtp","e07000215","patient_postcode",0.157190635451505
"rtp","e07000226","patient_postcode",0.260869565217391
"rtp","e07000227","patient_postcode",0.1438127090301
"rtp","e07000228","patient_postcode",0.0468227424749164
"rtr","e06000002","hospital_postcode",NA
"rtr","e06000002","patient_postcode",0.534934497816594
"rtr","e06000003","patient_postcode",0.299126637554585
"rtr","e06000004","patient_postcode",0.0109170305676856
"rtr","e07000164","patient_postcode",0.126637554585153
"rtr","e07000166","patient_postcode",0.0283842794759825
"rtv","e08000012","hospital_postcode",NA
"rtx","e07000027","hospital_postcode",NA
"rtx","e07000031","hospital_postcode",NA
"rtx","e07000121","hospital_postcode",NA
"rtx","e07000027","patient_postcode",0.285171102661597
"rtx","e07000029","patient_postcode",0.106463878326996
"rtx","e07000031","patient_postcode",0.338403041825095
"rtx","e07000121","patient_postcode",0.250950570342205
